atc-code,atc-level,description
L04AA23,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
J05AX07,J05AX,Other antivirals
J05AX07,J05A,DIRECT ACTING ANTIVIRALS
J05AX07,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AX07,J,ANTIINFECTIVES FOR SYSTEMIC USE
J06BB16,J06BB,Specific immunoglobulins
J06BB16,J06B,IMMUNOGLOBULINS
J06BB16,J06,IMMUNE SERA AND IMMUNOGLOBULINS
J06BB16,J,ANTIINFECTIVES FOR SYSTEMIC USE
L04AC01,L04AC,Interleukin inhibitors
L04AC01,L04A,IMMUNOSUPPRESSANTS
L04AC01,L04,IMMUNOSUPPRESSANTS
L04AC01,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L01XC07,L01XC,Monoclonal antibodies
L01XC07,L01X,OTHER ANTINEOPLASTIC AGENTS
L01XC07,L01,ANTINEOPLASTIC AGENTS
L01XC07,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
V09IA06,V09IA,Technetium (99mTc) compounds
V09IA06,V09I,TUMOUR DETECTION
V09IA06,V09,DIAGNOSTIC RADIOPHARMACEUTICALS
V09IA06,V,VARIOUS
A11HA06,A11HA,Other plain vitamin preparations
A11HA06,A11H,OTHER PLAIN VITAMIN PREPARATIONS
A11HA06,A11,VITAMINS
A11HA06,A,ALIMENTARY TRACT AND METABOLISM
B03BA01,B03AE,Iron in other combinations
B03BA01,B03A,IRON PREPARATIONS
B03BA01,B03,ANTIANEMIC PREPARATIONS
B03BA01,B,BLOOD AND BLOOD FORMING ORGANS
B03BA01,B03BA,Vitamin B12 (cyanocobalamin and analogues)
B03BA01,B03B,VITAMIN B12 AND FOLIC ACID
B03BA01,B03,ANTIANEMIC PREPARATIONS
B03BA01,B,BLOOD AND BLOOD FORMING ORGANS
B03BA01,B03BA,Vitamin B12 (cyanocobalamin and analogues)
B03BA01,B03B,VITAMIN B12 AND FOLIC ACID
B03BA01,B03,ANTIANEMIC PREPARATIONS
B03BA01,B,BLOOD AND BLOOD FORMING ORGANS
A16AA02,A16AA,Amino acids and derivatives
A16AA02,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AA02,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AA02,A,ALIMENTARY TRACT AND METABOLISM
A11HA05,A11HA,Other plain vitamin preparations
A11HA05,A11H,OTHER PLAIN VITAMIN PREPARATIONS
A11HA05,A11,VITAMINS
A11HA05,A,ALIMENTARY TRACT AND METABOLISM
B05XB03,B05XB,Amino acids
B05XB03,B05X,I.V. SOLUTION ADDITIVES
B05XB03,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS
B05XB03,B,BLOOD AND BLOOD FORMING ORGANS
B05XB01,B05XB,Amino acids
B05XB01,B05X,I.V. SOLUTION ADDITIVES
B05XB01,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS
B05XB01,B,BLOOD AND BLOOD FORMING ORGANS
G01AD03,A11GB,"Ascorbic acid (vitamin C), combinations"
G01AD03,A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS"
G01AD03,A11,VITAMINS
G01AD03,A,ALIMENTARY TRACT AND METABOLISM
G01AD03,A11GA,"Ascorbic acid (vitamin C), plain"
G01AD03,A11G,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS"
G01AD03,A11,VITAMINS
G01AD03,A,ALIMENTARY TRACT AND METABOLISM
G01AD03,S01XA,Other ophthalmologicals
G01AD03,S01X,OTHER OPHTHALMOLOGICALS
G01AD03,S01,OPHTHALMOLOGICALS
G01AD03,S,SENSORY ORGANS
G01AD03,G01AD,Organic acids
G01AD03,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
G01AD03,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
G01AD03,G,GENITO URINARY SYSTEM AND SEX HORMONES
A16AA03,A16AA,Amino acids and derivatives
A16AA03,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AA03,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AA03,A,ALIMENTARY TRACT AND METABOLISM
V03AB26,V03AB,Antidotes
V03AB26,V03A,ALL OTHER THERAPEUTIC PRODUCTS
V03AB26,V03,ALL OTHER THERAPEUTIC PRODUCTS
V03AB26,V,VARIOUS
D05AX03,A11CC,Vitamin D and analogues
D05AX03,A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO"
D05AX03,A11,VITAMINS
D05AX03,A,ALIMENTARY TRACT AND METABOLISM
D05AX03,D05AX,Other antipsoriatics for topical use
D05AX03,D05A,ANTIPSORIATICS FOR TOPICAL USE
D05AX03,D05,ANTIPSORIATICS
D05AX03,D,DERMATOLOGICALS
A11HA04,A11HA,Other plain vitamin preparations
A11HA04,A11H,OTHER PLAIN VITAMIN PREPARATIONS
A11HA04,A11,VITAMINS
A11HA04,A,ALIMENTARY TRACT AND METABOLISM
A09AB01,A09AB,Acid preparations
A09AB01,A09A,"DIGESTIVES, INCL. ENZYMES"
A09AB01,A09,"DIGESTIVES, INCL. ENZYMES"
A09AB01,A,ALIMENTARY TRACT AND METABOLISM
V03AB32,V03AB,Antidotes
V03AB32,V03A,ALL OTHER THERAPEUTIC PRODUCTS
V03AB32,V03,ALL OTHER THERAPEUTIC PRODUCTS
V03AB32,V,VARIOUS
B05CX03,B05CX,Other irrigating solutions
B05CX03,B05C,IRRIGATING SOLUTIONS
B05CX03,B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS
B05CX03,B,BLOOD AND BLOOD FORMING ORGANS
A11CC06,A11CC,Vitamin D and analogues
A11CC06,A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO"
A11CC06,A11,VITAMINS
A11CC06,A,ALIMENTARY TRACT AND METABOLISM
N06AX02,N06AX,Other antidepressants
N06AX02,N06A,ANTIDEPRESSANTS
N06AX02,N06,PSYCHOANALEPTICS
N06AX02,N,NERVOUS SYSTEM
A11DA01,A11DA,"Vitamin B1, plain"
A11DA01,A11D,"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12"
A11DA01,A11,VITAMINS
A11DA01,A,ALIMENTARY TRACT AND METABOLISM
A11CC01,A11CC,Vitamin D and analogues
A11CC01,A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO"
A11CC01,A11,VITAMINS
A11CC01,A,ALIMENTARY TRACT AND METABOLISM
B03BB01,B03AE,Iron in other combinations
B03BB01,B03A,IRON PREPARATIONS
B03BB01,B03,ANTIANEMIC PREPARATIONS
B03BB01,B,BLOOD AND BLOOD FORMING ORGANS
B03BB01,B03AE,Iron in other combinations
B03BB01,B03A,IRON PREPARATIONS
B03BB01,B03,ANTIANEMIC PREPARATIONS
B03BB01,B,BLOOD AND BLOOD FORMING ORGANS
B03BB01,B03BB,Folic acid and derivatives
B03BB01,B03B,VITAMIN B12 AND FOLIC ACID
B03BB01,B03,ANTIANEMIC PREPARATIONS
B03BB01,B,BLOOD AND BLOOD FORMING ORGANS
B03BB01,B03BB,Folic acid and derivatives
B03BB01,B03B,VITAMIN B12 AND FOLIC ACID
B03BB01,B03,ANTIANEMIC PREPARATIONS
B03BB01,B,BLOOD AND BLOOD FORMING ORGANS
S01XA02,R01AX,Other nasal preparations
S01XA02,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
S01XA02,R01,NASAL PREPARATIONS
S01XA02,R,RESPIRATORY SYSTEM
S01XA02,A11CA,"Vitamin A, plain"
S01XA02,A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO"
S01XA02,A11,VITAMINS
S01XA02,A,ALIMENTARY TRACT AND METABOLISM
S01XA02,D10AD,Retinoids for topical use in acne
S01XA02,D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE
S01XA02,D10,ANTI-ACNE PREPARATIONS
S01XA02,D,DERMATOLOGICALS
S01XA02,V04CB,Tests for fat absorption
S01XA02,V04C,OTHER DIAGNOSTIC AGENTS
S01XA02,V04,DIAGNOSTIC AGENTS
S01XA02,V,VARIOUS
S01XA02,S01XA,Other ophthalmologicals
S01XA02,S01X,OTHER OPHTHALMOLOGICALS
S01XA02,S01,OPHTHALMOLOGICALS
S01XA02,S,SENSORY ORGANS
A11HA02,A11HA,Other plain vitamin preparations
A11HA02,A11H,OTHER PLAIN VITAMIN PREPARATIONS
A11HA02,A11,VITAMINS
A11HA02,A,ALIMENTARY TRACT AND METABOLISM
A16AX01,A16AX,Various alimentary tract and metabolism products
A16AX01,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AX01,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AX01,A,ALIMENTARY TRACT AND METABOLISM
M05BB07,M05BB,"Bisphosphonates, combinations"
M05BB07,M05B,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
M05BB07,M05,DRUGS FOR TREATMENT OF BONE DISEASES
M05BB07,M,MUSCULO-SKELETAL SYSTEM
M05BB07,M05BB,"Bisphosphonates, combinations"
M05BB07,M05B,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
M05BB07,M05,DRUGS FOR TREATMENT OF BONE DISEASES
M05BB07,M,MUSCULO-SKELETAL SYSTEM
M05BB07,A11CC,Vitamin D and analogues
M05BB07,A11C,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO"
M05BB07,A11,VITAMINS
M05BB07,A,ALIMENTARY TRACT AND METABOLISM
M05BB07,M05BB,"Bisphosphonates, combinations"
M05BB07,M05B,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
M05BB07,M05,DRUGS FOR TREATMENT OF BONE DISEASES
M05BB07,M,MUSCULO-SKELETAL SYSTEM
M05BB07,M05BB,"Bisphosphonates, combinations"
M05BB07,M05B,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
M05BB07,M05,DRUGS FOR TREATMENT OF BONE DISEASES
M05BB07,M,MUSCULO-SKELETAL SYSTEM
M05BB07,M05BX,Other drugs affecting bone structure and mineralization
M05BB07,M05B,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
M05BB07,M05,DRUGS FOR TREATMENT OF BONE DISEASES
M05BB07,M,MUSCULO-SKELETAL SYSTEM
M05BB07,M05BB,"Bisphosphonates, combinations"
M05BB07,M05B,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
M05BB07,M05,DRUGS FOR TREATMENT OF BONE DISEASES
M05BB07,M,MUSCULO-SKELETAL SYSTEM
B02BA02,B02BA,Vitamin K
B02BA02,B02B,VITAMIN K AND OTHER HEMOSTATICS
B02BA02,B02,ANTIHEMORRHAGICS
B02BA02,B,BLOOD AND BLOOD FORMING ORGANS
C10BA03,C10AA,HMG CoA reductase inhibitors
C10BA03,C10A,"LIPID MODIFYING AGENTS, PLAIN"
C10BA03,C10,LIPID MODIFYING AGENTS
C10BA03,C,CARDIOVASCULAR SYSTEM
C10BA03,C10BX,"HMG CoA reductase inhibitors, other combinations"
C10BA03,C10B,"LIPID MODIFYING AGENTS, COMBINATIONS"
C10BA03,C10,LIPID MODIFYING AGENTS
C10BA03,C,CARDIOVASCULAR SYSTEM
C10BA03,C10BA,HMG CoA reductase inhibitors in combination with other lipid modifying agents
C10BA03,C10B,"LIPID MODIFYING AGENTS, COMBINATIONS"
C10BA03,C10,LIPID MODIFYING AGENTS
C10BA03,C,CARDIOVASCULAR SYSTEM
N06AB08,N06AB,Selective serotonin reuptake inhibitors
N06AB08,N06A,ANTIDEPRESSANTS
N06AB08,N06,PSYCHOANALEPTICS
N06AB08,N,NERVOUS SYSTEM
C09DX04,C09DX,"Angiotensin II antagonists, other combinations"
C09DX04,C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS"
C09DX04,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09DX04,C,CARDIOVASCULAR SYSTEM
C09DX04,C09DB,Angiotensin II antagonists and calcium channel blockers
C09DX04,C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS"
C09DX04,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09DX04,C,CARDIOVASCULAR SYSTEM
C09DX04,C10BX,"HMG CoA reductase inhibitors, other combinations"
C09DX04,C10B,"LIPID MODIFYING AGENTS, COMBINATIONS"
C09DX04,C10,LIPID MODIFYING AGENTS
C09DX04,C,CARDIOVASCULAR SYSTEM
C09DX04,C09DX,"Angiotensin II antagonists, other combinations"
C09DX04,C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS"
C09DX04,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09DX04,C,CARDIOVASCULAR SYSTEM
C09DX04,C09DB,Angiotensin II antagonists and calcium channel blockers
C09DX04,C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS"
C09DX04,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09DX04,C,CARDIOVASCULAR SYSTEM
C09DX04,C09DA,Angiotensin II antagonists and diuretics
C09DX04,C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS"
C09DX04,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09DX04,C,CARDIOVASCULAR SYSTEM
C09DX04,C09CA,"Angiotensin II antagonists, plain"
C09DX04,C09C,"ANGIOTENSIN II ANTAGONISTS, PLAIN"
C09DX04,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09DX04,C,CARDIOVASCULAR SYSTEM
C09DX04,C09DX,"Angiotensin II antagonists, other combinations"
C09DX04,C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS"
C09DX04,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09DX04,C,CARDIOVASCULAR SYSTEM
C09BB05,C10BX,"HMG CoA reductase inhibitors, other combinations"
C09BB05,C10B,"LIPID MODIFYING AGENTS, COMBINATIONS"
C09BB05,C10,LIPID MODIFYING AGENTS
C09BB05,C,CARDIOVASCULAR SYSTEM
C09BB05,C09AA,"ACE inhibitors, plain"
C09BB05,C09A,"ACE INHIBITORS, PLAIN"
C09BB05,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09BB05,C,CARDIOVASCULAR SYSTEM
C09BB05,C10BX,"HMG CoA reductase inhibitors, other combinations"
C09BB05,C10B,"LIPID MODIFYING AGENTS, COMBINATIONS"
C09BB05,C10,LIPID MODIFYING AGENTS
C09BB05,C,CARDIOVASCULAR SYSTEM
C09BB05,C09BA,ACE inhibitors and diuretics
C09BB05,C09B,"ACE INHIBITORS, COMBINATIONS"
C09BB05,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09BB05,C,CARDIOVASCULAR SYSTEM
C09BB05,C09BB,ACE inhibitors and calcium channel blockers
C09BB05,C09B,"ACE INHIBITORS, COMBINATIONS"
C09BB05,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09BB05,C,CARDIOVASCULAR SYSTEM
C09BB05,C09BB,ACE inhibitors and calcium channel blockers
C09BB05,C09B,"ACE INHIBITORS, COMBINATIONS"
C09BB05,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09BB05,C,CARDIOVASCULAR SYSTEM
L01XX10,L01XX,Other antineoplastic agents
L01XX10,L01X,OTHER ANTINEOPLASTIC AGENTS
L01XX10,L01,ANTINEOPLASTIC AGENTS
L01XX10,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
R03BA03,R01AD,Corticosteroids
R03BA03,R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
R03BA03,R01,NASAL PREPARATIONS
R03BA03,R,RESPIRATORY SYSTEM
R03BA03,R03BA,Glucocorticoids
R03BA03,R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS"
R03BA03,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03BA03,R,RESPIRATORY SYSTEM
M03BX01,M03BX,Other centrally acting agents
M03BX01,M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS"
M03BX01,M03,MUSCLE RELAXANTS
M03BX01,M,MUSCULO-SKELETAL SYSTEM
N06BA01,N06BA,Centrally acting sympathomimetics
N06BA01,N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
N06BA01,N06,PSYCHOANALEPTICS
N06BA01,N,NERVOUS SYSTEM
V04CG04,V04CG,Tests for gastric secretion
V04CG04,V04C,OTHER DIAGNOSTIC AGENTS
V04CG04,V04,DIAGNOSTIC AGENTS
V04CG04,V,VARIOUS
N07BA01,N07BA,Drugs used in nicotine dependence
N07BA01,N07B,DRUGS USED IN ADDICTIVE DISORDERS
N07BA01,N07,OTHER NERVOUS SYSTEM DRUGS
N07BA01,N,NERVOUS SYSTEM
N07AX03,N07AX,Other parasympathomimetics
N07AX03,N07A,PARASYMPATHOMIMETICS
N07AX03,N07,OTHER NERVOUS SYSTEM DRUGS
N07AX03,N,NERVOUS SYSTEM
N05BA56,N05BA,Benzodiazepine derivatives
N05BA56,N05B,ANXIOLYTICS
N05BA56,N05,PSYCHOLEPTICS
N05BA56,N,NERVOUS SYSTEM
N05BA56,N05BA,Benzodiazepine derivatives
N05BA56,N05B,ANXIOLYTICS
N05BA56,N05,PSYCHOLEPTICS
N05BA56,N,NERVOUS SYSTEM
C07AB09,C07AB,"Beta blocking agents, selective"
C07AB09,C07A,BETA BLOCKING AGENTS
C07AB09,C07,BETA BLOCKING AGENTS
C07AB09,C,CARDIOVASCULAR SYSTEM
L01XX32,L01XX,Other antineoplastic agents
L01XX32,L01X,OTHER ANTINEOPLASTIC AGENTS
L01XX32,L01,ANTINEOPLASTIC AGENTS
L01XX32,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
N05CM08,N05CM,Other hypnotics and sedatives
N05CM08,N05C,HYPNOTICS AND SEDATIVES
N05CM08,N05,PSYCHOLEPTICS
N05CM08,N,NERVOUS SYSTEM
A08AA01,A08AA,Centrally acting antiobesity products
A08AA01,A08A,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS"
A08AA01,A08,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS"
A08AA01,A,ALIMENTARY TRACT AND METABOLISM
N02AX02,N02AX,Other opioids
N02AX02,N02A,OPIOIDS
N02AX02,N02,ANALGESICS
N02AX02,N,NERVOUS SYSTEM
N02AX02,N02AX,Other opioids
N02AX02,N02A,OPIOIDS
N02AX02,N02,ANALGESICS
N02AX02,N,NERVOUS SYSTEM
S01AD06,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
S01AD06,J05A,DIRECT ACTING ANTIVIRALS
S01AD06,J05,ANTIVIRALS FOR SYSTEMIC USE
S01AD06,J,ANTIINFECTIVES FOR SYSTEMIC USE
S01AD06,S01AD,Antivirals
S01AD06,S01A,ANTIINFECTIVES
S01AD06,S01,OPHTHALMOLOGICALS
S01AD06,S,SENSORY ORGANS
S01ED02,C07AB,"Beta blocking agents, selective"
S01ED02,C07A,BETA BLOCKING AGENTS
S01ED02,C07,BETA BLOCKING AGENTS
S01ED02,C,CARDIOVASCULAR SYSTEM
S01ED02,S01ED,Beta blocking agents
S01ED02,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS
S01ED02,S01,OPHTHALMOLOGICALS
S01ED02,S,SENSORY ORGANS
S01ED02,S01ED,Beta blocking agents
S01ED02,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS
S01ED02,S01,OPHTHALMOLOGICALS
S01ED02,S,SENSORY ORGANS
J01RA07,J02AC,Triazole derivatives
J01RA07,J02A,ANTIMYCOTICS FOR SYSTEMIC USE
J01RA07,J02,ANTIMYCOTICS FOR SYSTEMIC USE
J01RA07,J,ANTIINFECTIVES FOR SYSTEMIC USE
J01RA07,D01AC,Imidazole and triazole derivatives
J01RA07,D01A,ANTIFUNGALS FOR TOPICAL USE
J01RA07,D01,ANTIFUNGALS FOR DERMATOLOGICAL USE
J01RA07,D,DERMATOLOGICALS
J01RA07,J01RA,Combinations of antibacterials
J01RA07,J01R,COMBINATIONS OF ANTIBACTERIALS
J01RA07,J01,ANTIBACTERIALS FOR SYSTEMIC USE
J01RA07,J,ANTIINFECTIVES FOR SYSTEMIC USE
A10BG01,A10BG,Thiazolidinediones
A10BG01,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BG01,A10,DRUGS USED IN DIABETES
A10BG01,A,ALIMENTARY TRACT AND METABOLISM
J05AH02,J05AH,Neuraminidase inhibitors
J05AH02,J05A,DIRECT ACTING ANTIVIRALS
J05AH02,J05,ANTIVIRALS FOR SYSTEMIC USE
J05AH02,J,ANTIINFECTIVES FOR SYSTEMIC USE
S01AA17,D10AF,Antiinfectives for treatment of acne
S01AA17,D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE
S01AA17,D10,ANTI-ACNE PREPARATIONS
S01AA17,D,DERMATOLOGICALS
S01AA17,J01FA,Macrolides
S01AA17,J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
S01AA17,J01,ANTIBACTERIALS FOR SYSTEMIC USE
S01AA17,J,ANTIINFECTIVES FOR SYSTEMIC USE
S01AA17,D10AF,Antiinfectives for treatment of acne
S01AA17,D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE
S01AA17,D10,ANTI-ACNE PREPARATIONS
S01AA17,D,DERMATOLOGICALS
S01AA17,S01AA,Antibiotics
S01AA17,S01A,ANTIINFECTIVES
S01AA17,S01,OPHTHALMOLOGICALS
S01AA17,S,SENSORY ORGANS
B03BA53,V03AB,Antidotes
B03BA53,V03A,ALL OTHER THERAPEUTIC PRODUCTS
B03BA53,V03,ALL OTHER THERAPEUTIC PRODUCTS
B03BA53,V,VARIOUS
B03BA53,B03BA,Vitamin B12 (cyanocobalamin and analogues)
B03BA53,B03B,VITAMIN B12 AND FOLIC ACID
B03BA53,B03,ANTIANEMIC PREPARATIONS
B03BA53,B,BLOOD AND BLOOD FORMING ORGANS
B03BA53,B03BA,Vitamin B12 (cyanocobalamin and analogues)
B03BA53,B03B,VITAMIN B12 AND FOLIC ACID
B03BA53,B03,ANTIANEMIC PREPARATIONS
B03BA53,B,BLOOD AND BLOOD FORMING ORGANS
N06BC01,V04CG,Tests for gastric secretion
N06BC01,V04C,OTHER DIAGNOSTIC AGENTS
N06BC01,V04,DIAGNOSTIC AGENTS
N06BC01,V,VARIOUS
N06BC01,R03DA,Xanthines
N06BC01,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
N06BC01,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
N06BC01,R,RESPIRATORY SYSTEM
N06BC01,N06BC,Xanthine derivatives
N06BC01,N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
N06BC01,N06,PSYCHOANALEPTICS
N06BC01,N,NERVOUS SYSTEM
M03AB01,M03AB,Choline derivatives
M03AB01,M03A,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS"
M03AB01,M03,MUSCLE RELAXANTS
M03AB01,M,MUSCULO-SKELETAL SYSTEM
G01AE10,G04BE,Drugs used in erectile dysfunction
G01AE10,G04B,UROLOGICALS
G01AE10,G04,UROLOGICALS
G01AE10,G,GENITO URINARY SYSTEM AND SEX HORMONES
G01AE10,G01AE,Sulfonamides
G01AE10,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
G01AE10,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
G01AE10,G,GENITO URINARY SYSTEM AND SEX HORMONES
C01BD04,C01BD,"Antiarrhythmics, class III"
C01BD04,C01B,"ANTIARRHYTHMICS, CLASS I AND III"
C01BD04,C01,CARDIAC THERAPY
C01BD04,C,CARDIOVASCULAR SYSTEM
P01BD51,P01BF,"Artemisinin and derivatives, combinations"
P01BD51,P01B,ANTIMALARIALS
P01BD51,P01,ANTIPROTOZOALS
P01BD51,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS"
P01BD51,P01BD,Diaminopyrimidines
P01BD51,P01B,ANTIMALARIALS
P01BD51,P01,ANTIPROTOZOALS
P01BD51,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS"
P01BD51,P01BD,Diaminopyrimidines
P01BD51,P01B,ANTIMALARIALS
P01BD51,P01,ANTIPROTOZOALS
P01BD51,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS"
C02AA02,C02LA,Rauwolfia alkaloids and diuretics in combination
C02AA02,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION
C02AA02,C02,ANTIHYPERTENSIVES
C02AA02,C,CARDIOVASCULAR SYSTEM
C02AA02,C02AA,Rauwolfia alkaloids
C02AA02,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
C02AA02,C02,ANTIHYPERTENSIVES
C02AA02,C,CARDIOVASCULAR SYSTEM
C02AA02,C02LA,Rauwolfia alkaloids and diuretics in combination
C02AA02,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION
C02AA02,C02,ANTIHYPERTENSIVES
C02AA02,C,CARDIOVASCULAR SYSTEM
C02AA02,C02LA,Rauwolfia alkaloids and diuretics in combination
C02AA02,C02L,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION
C02AA02,C02,ANTIHYPERTENSIVES
C02AA02,C,CARDIOVASCULAR SYSTEM
C02AA02,C02AA,Rauwolfia alkaloids
C02AA02,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
C02AA02,C02,ANTIHYPERTENSIVES
C02AA02,C,CARDIOVASCULAR SYSTEM
J01RA07,J01FA,Macrolides
J01RA07,J01F,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS"
J01RA07,J01,ANTIBACTERIALS FOR SYSTEMIC USE
J01RA07,J,ANTIINFECTIVES FOR SYSTEMIC USE
J01RA07,S01AA,Antibiotics
J01RA07,S01A,ANTIINFECTIVES
J01RA07,S01,OPHTHALMOLOGICALS
J01RA07,S,SENSORY ORGANS
J01RA07,J01RA,Combinations of antibacterials
J01RA07,J01R,COMBINATIONS OF ANTIBACTERIALS
J01RA07,J01,ANTIBACTERIALS FOR SYSTEMIC USE
J01RA07,J,ANTIINFECTIVES FOR SYSTEMIC USE
B01AC05,B01AC,Platelet aggregation inhibitors excl. heparin
B01AC05,B01A,ANTITHROMBOTIC AGENTS
B01AC05,B01,ANTITHROMBOTIC AGENTS
B01AC05,B,BLOOD AND BLOOD FORMING ORGANS
G04BD09,A03DA,Synthetic anticholinergic agents in combination with analgesics
G04BD09,A03D,ANTISPASMODICS IN COMBINATION WITH ANALGESICS
G04BD09,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
G04BD09,A,ALIMENTARY TRACT AND METABOLISM
G04BD09,G04BD,Drugs for urinary frequency and incontinence
G04BD09,G04B,UROLOGICALS
G04BD09,G04,UROLOGICALS
G04BD09,G,GENITO URINARY SYSTEM AND SEX HORMONES
D10AD03,D10AD,Retinoids for topical use in acne
D10AD03,D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE
D10AD03,D10,ANTI-ACNE PREPARATIONS
D10AD03,D,DERMATOLOGICALS
D10AD03,D10AD,Retinoids for topical use in acne
